city_country,city,country,lat,lon,elevation_m,fetched_at
Azerbaijan|Baku,Baku,Azerbaijan,40.37767,49.89201,23.0,2026-07-20T01:03:06.704370+00:00
Belgium|Brussels,Brussels,Belgium,50.85045,4.34878,28.0,2026-07-20T01:03:06.704370+00:00
Kazakhstan|Astana,Astana,Kazakhstan,51.1801,71.44598,358.0,2026-07-20T01:03:06.704370+00:00
Hungary|Budapest,Budapest,Hungary,47.49835,19.04045,104.0,2026-07-20T01:03:06.704370+00:00
Denmark|Herning,Herning,Denmark,56.13615,8.97662,60.0,2026-07-20T01:03:06.704370+00:00
Greece|Thessaloniki,Thessaloniki,Greece,40.64072,22.93493,9999.0,2026-07-20T01:03:06.704370+00:00
Portugal|Braga,Braga,Portugal,41.5514,-8.42311,190.0,2026-07-20T01:03:06.704370+00:00
Croatia|Zagreb,Zagreb,Croatia,45.81444,15.97798,135.0,2026-07-20T01:03:06.704370+00:00
Sweden|Malmo,Malmo,Sweden,55.60587,13.00073,10.0,2026-07-20T01:03:06.704370+00:00
Serbia|Belgrade,Belgrade,Serbia,44.80401,20.46513,120.0,2026-07-20T01:03:06.704370+00:00
Netherlands|Deventer,Deventer,Netherlands,52.255,6.16389,12.0,2026-07-20T01:03:06.704370+00:00
Netherlands|Utrecht,Utrecht,Netherlands,52.09083,5.12222,13.0,2026-07-20T01:03:06.704370+00:00
Scotland|Glasgow,Glasgow,Scotland,55.86515,-4.25763,40.0,2026-07-20T01:03:06.704370+00:00
Austria|Salzburg,Salzburg,Austria,47.79941,13.04399,424.0,2026-07-20T01:03:06.704370+00:00
Switzerland|Bern,Bern,Switzerland,46.94809,7.44744,549.0,2026-07-20T01:03:06.704370+00:00
Romania|Bucuresti,Bucuresti,Romania,44.4913,26.03459,92.0,2026-07-20T01:03:06.704370+00:00
Bulgaria|Razgrad,Razgrad,Bulgaria,43.53331,26.51849,190.0,2026-07-20T01:03:06.704370+00:00
Greece|Athens,Athens,Greece,37.98376,23.72784,70.0,2026-07-20T01:03:06.704370+00:00
Czechia|Plzen,Plzen,Czechia,49.67517,13.27462,354.0,2026-07-20T01:03:06.704370+00:00
Switzerland|Basel,Basel,Switzerland,47.55839,7.57327,279.0,2026-07-20T01:03:06.704370+00:00
Portugal|Porto,Porto,Portugal,41.1485,-8.61097,91.0,2026-07-20T01:03:06.704370+00:00
Netherlands|Rotterdam,Rotterdam,Netherlands,51.9225,4.47917,9.0,2026-07-20T01:03:06.704370+00:00
Serbia|Backa Topola,Backa Topola,Serbia,45.81516,19.6318,94.0,2026-07-20T01:03:06.704370+00:00
Belgium|Genk,Genk,Belgium,50.965,5.50082,66.0,2026-07-20T01:03:06.704370+00:00
Austria|Graz,Graz,Austria,47.06733,15.44197,362.0,2026-07-20T01:03:06.704370+00:00
Poland|Lublin,Lublin,Poland,51.25058,22.57009,184.0,2026-07-20T01:03:06.704370+00:00
Armenia|Yerevan,Yerevan,Armenia,40.17765,44.5126,1002.0,2026-07-20T01:03:06.704370+00:00
Poland|Bialystok,Bialystok,Poland,53.13333,23.16433,135.0,2026-07-20T01:03:06.704370+00:00
Finland|Tampere,Tampere,Finland,61.49911,23.78712,114.0,2026-07-20T01:03:06.704370+00:00
Switzerland|Lausanne,Lausanne,Switzerland,46.516,6.63282,453.0,2026-07-20T01:03:06.704370+00:00
Poland|Poznan,Poznan,Poland,52.40692,16.92993,69.0,2026-07-20T01:03:06.704370+00:00
Cyprus|Nicosia,Nicosia,Cyprus,35.17284,33.35397,155.0,2026-07-20T01:03:06.704370+00:00
Bosnia and Herzegovina|Mostar,Mostar,Bosnia and Herzegovina,43.34333,17.80806,66.0,2026-07-20T01:03:06.704370+00:00
